date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:52:13	285125/285125	---M-Z	200	added ('OK')	text/html	date:Wed,%2025%20Jun%202025%2010:17:27%20GMT	https://www.walmart.com/	D:/Walmart_project/Walmart_project/walmart_clone/Wallmart_homepage/www.walmart.com/index.html	(from )
15:52:13	748/748	---M-Z	200	added ('OK')	text/plain	date:Thu,%2027%20Mar%202025%2008:54:13%20GMT	https://www.walmart.com/robots.txt		(from )
15:52:13	2503/2503	---M--	200	added ('OK')	text/javascript	date:Tue,%2029%20Oct%202024%2004:28:42%20GMT	http://i5.walmartimages.com/beacon/beacon.js?bd=b.www.walmart.com&bh=beacon.lightest.walmart.com	D:/Walmart_project/Walmart_project/walmart_clone/Wallmart_homepage/i5.walmartimages.com/beacon/beacon0f51.js	(from https://www.walmart.com/)
15:52:13	10613/10613	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Jun%202025%2014:10:02%20GMT	https://i5.walmartimages.com/dfw/4ff9c6c9-9aff/k2-_629c8bf6-7911-4569-98fc-60cce3675153.v1.jpg?odnHeight=256&odnWidth=385&odnBg=&odnDynImageQuality=70	D:/Walmart_project/Walmart_project/walmart_clone/Wallmart_homepage/i5.walmartimages.com/dfw/4ff9c6c9-9aff/k2-_629c8bf6-7911-4569-98fc-60cce3675153.v131cd.jpg	(from https://www.walmart.com/)
15:52:14	23254/23254	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Jun%202025%2022:50:50%20GMT	https://i5.walmartimages.com/dfw/4ff9c6c9-b4d1/k2-_802aff86-68d5-4e35-96e4-328a02b662ff.v1.jpg?odnHeight=578&odnWidth=385&odnBg=&odnDynImageQuality=70	D:/Walmart_project/Walmart_project/walmart_clone/Wallmart_homepage/i5.walmartimages.com/dfw/4ff9c6c9-b4d1/k2-_802aff86-68d5-4e35-96e4-328a02b662ff.v14e71.jpg	(from https://www.walmart.com/)
15:52:14	5345/5345	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20May%202025%2016:13:50%20GMT	https://i5.walmartimages.com/dfw/4ff9c6c9-8f8b/k2-_904fda64-b749-4c1c-8d66-421218316a99.v1.jpg?odnHeight=216&odnWidth=385&odnBg=&odnDynImageQuality=70	D:/Walmart_project/Walmart_project/walmart_clone/Wallmart_homepage/i5.walmartimages.com/dfw/4ff9c6c9-8f8b/k2-_904fda64-b749-4c1c-8d66-421218316a99.v1b0b6.jpg	(from https://www.walmart.com/)
15:52:15	33092/33092	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Jun%202025%2013:47:51%20GMT	https://i5.walmartimages.com/dfw/4ff9c6c9-c4e9/k2-_076b4f3e-4db5-4581-8ba6-d2c3d24afa54.v1.jpg?odnHeight=447&odnWidth=794&odnBg=&odnDynImageQuality=70	D:/Walmart_project/Walmart_project/walmart_clone/Wallmart_homepage/i5.walmartimages.com/dfw/4ff9c6c9-c4e9/k2-_076b4f3e-4db5-4581-8ba6-d2c3d24afa54.v16f9b.jpg	(from https://www.walmart.com/)
15:52:15	21296/21296	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Jun%202025%2021:49:58%20GMT	https://i5.walmartimages.com/dfw/4ff9c6c9-185d/k2-_010ddb50-b20e-4c4f-9eea-b86f509336e6.v1.jpg?odnHeight=447&odnWidth=794&odnBg=&odnDynImageQuality=70	D:/Walmart_project/Walmart_project/walmart_clone/Wallmart_homepage/i5.walmartimages.com/dfw/4ff9c6c9-185d/k2-_010ddb50-b20e-4c4f-9eea-b86f509336e6.v16f9b.jpg	(from https://www.walmart.com/)
15:52:15	18076/18076	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20May%202025%2007:48:59%20GMT	https://i5.walmartimages.com/dfw/4ff9c6c9-1f98/k2-_bce472b2-fa9c-4bb6-b359-0b66cca334c2.v1.jpg?odnHeight=447&odnWidth=794&odnBg=&odnDynImageQuality=70	D:/Walmart_project/Walmart_project/walmart_clone/Wallmart_homepage/i5.walmartimages.com/dfw/4ff9c6c9-1f98/k2-_bce472b2-fa9c-4bb6-b359-0b66cca334c2.v16f9b.jpg	(from https://www.walmart.com/)
15:52:16	10604/10604	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20May%202025%2014:00:10%20GMT	https://i5.walmartimages.com/dfw/4ff9c6c9-fcd2/k2-_5ccaba85-eb0c-4bdf-8f8c-5d514fc96a16.v1.jpg?odnHeight=388&odnWidth=385&odnBg=&odnDynImageQuality=70	D:/Walmart_project/Walmart_project/walmart_clone/Wallmart_homepage/i5.walmartimages.com/dfw/4ff9c6c9-fcd2/k2-_5ccaba85-eb0c-4bdf-8f8c-5d514fc96a16.v1ffa0.jpg	(from https://www.walmart.com/)
